Designator,Mid X,Mid Y,Layer,Rotation
C1,91.750000,-5.750000,top,90.000000
C2,94.500000,-5.750000,top,90.000000
C3,22.750000,-6.000000,top,90.000000
C4,41.750000,-6.000000,top,270.000000
C5,60.750000,-6.000000,top,90.000000
C6,79.750000,-6.250000,top,90.000000
C7,22.750000,-18.000000,top,90.000000
C8,41.750000,-18.000000,top,90.000000
C9,60.750000,-18.000000,top,90.000000
C10,79.750000,-18.000000,top,270.000000
C11,119.250000,-6.000000,top,90.000000
C12,125.145000,-6.000000,top,90.000000
C13,144.145000,-6.000000,top,90.000000
C14,163.145000,-6.000000,top,90.000000
C15,119.250000,-18.000000,top,90.000000
C16,125.145000,-18.000000,top,90.000000
C17,144.145000,-18.000000,top,90.000000
C18,163.145000,-18.000000,top,90.000000
HDR1,100.770000,-12.000000,top,270.000000
HDR2,85.530000,-12.000000,top,90.000000
J1,16.250000,-6.000000,top,180.000000
J2,35.250000,-6.000000,top,180.000000
J3,54.250000,-6.000000,top,180.000000
J4,73.250000,-6.000000,top,180.000000
J5,16.250000,-18.000000,top,180.000000
J6,35.250000,-18.000000,top,180.000000
J7,54.250000,-18.000000,top,180.000000
J8,73.250000,-18.000000,top,180.000000
J9,112.695000,-6.000000,top,180.000000
J10,131.695000,-6.000000,top,180.000000
J11,150.695000,-6.000000,top,180.000000
J12,169.695000,-6.000000,top,180.000000
J13,112.695000,-18.000000,top,180.000000
J14,131.695000,-18.000000,top,180.000000
J15,150.695000,-18.000000,top,180.000000
J16,169.695000,-18.000000,top,180.000000
R1,104.800000,-9.460000,top,180.000000
R2,104.800000,-6.920000,top,180.000000
R3,104.800000,-14.540000,top,180.000000
U1,93.150000,-12.000000,top,270.000000
