Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",52.500000,-57.500000,90.000000,top
"C2","10uF","C_0805_2012Metric",32.000000,-73.500000,0.000000,top
"C3","100nF","C_0805_2012Metric",9.000000,-10.000000,-90.000000,top
"C4","100nF","C_0805_2012Metric",9.000000,-22.000000,-90.000000,top
"C5","100nF","C_0805_2012Metric",9.000000,-34.000000,-90.000000,top
"C6","100nF","C_0805_2012Metric",9.000000,-46.000000,-90.000000,top
"C7","100nF","C_0805_2012Metric",28.000000,-10.000000,-90.000000,top
"C8","100nF","C_0805_2012Metric",28.000000,-22.000000,-90.000000,top
"C9","100nF","C_0805_2012Metric",28.000000,-34.000000,-90.000000,top
"C10","100nF","C_0805_2012Metric",28.000000,-46.000000,-90.000000,top
"C11","100nF","C_0805_2012Metric",47.000000,-10.000000,-90.000000,top
"C12","100nF","C_0805_2012Metric",47.000000,-22.000000,-90.000000,top
"C13","100nF","C_0805_2012Metric",47.000000,-34.000000,-90.000000,top
"C14","100nF","C_0805_2012Metric",47.000000,-46.000000,-90.000000,top
"C15","100nF","C_0805_2012Metric",66.000000,-10.000000,-90.000000,top
"C16","100nF","C_0805_2012Metric",66.000000,-22.000000,-90.000000,top
"C17","100nF","C_0805_2012Metric",66.000000,-34.000000,-90.000000,top
"C18","100nF","C_0805_2012Metric",66.000000,-46.000000,-90.000000,top
"H1","MountingHole","MountingHole_3.2mm",4.500000,-4.500000,0.000000,top
"H2","MountingHole","MountingHole_3.2mm",85.500000,-4.500000,0.000000,top
"H3","MountingHole","MountingHole_3.2mm",4.500000,-79.500000,0.000000,top
"H4","MountingHole","MountingHole_3.2mm",85.500000,-79.500000,0.000000,top
"J1","XH-2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",15.000000,-10.000000,0.000000,top
"J2","XH-2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",15.000000,-22.000000,0.000000,top
"J3","XH-2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",15.000000,-34.000000,0.000000,top
"J4","XH-2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",15.000000,-46.000000,0.000000,top
"J5","XH-2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",34.000000,-10.000000,0.000000,top
"J6","XH-2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",34.000000,-22.000000,0.000000,top
"J7","XH-2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",34.000000,-34.000000,0.000000,top
"J8","XH-2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",34.000000,-46.000000,0.000000,top
"J9","XH-2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",53.000000,-10.000000,0.000000,top
"J10","XH-2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",53.000000,-22.000000,0.000000,top
"J11","XH-2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",53.000000,-34.000000,0.000000,top
"J12","XH-2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",53.000000,-46.000000,0.000000,top
"J13","XH-2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",72.000000,-10.000000,0.000000,top
"J14","XH-2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",72.000000,-22.000000,0.000000,top
"J15","XH-2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",72.000000,-34.000000,0.000000,top
"J16","XH-2P","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",72.000000,-46.000000,0.000000,top
"R1","4.7k","R_0805_2012Metric",58.000000,-70.910000,180.000000,top
"R2","4.7k","R_0805_2012Metric",58.000000,-68.370000,180.000000,top
"R3","10k","R_0805_2012Metric",58.000000,-75.990000,180.000000,top
"U1","XIAO-ESP32-C6","XIAO-ESP32-C6-DIP",45.000000,-73.450000,-90.000000,top
"U2","PCF8575","SSOP-24_5.3x8.2mm_P0.65mm",45.000000,-55.000000,0.000000,top
